
=======================================================
 Method: FEDAVG  |  Dataset: CICMALDROID
 Tasks: 5  |  Rounds/task: 25  |  Clients: 10
 DP: OFF
=======================================================
 Device: cpu
[CICMalDroid] 5385 samples, 200 features
[CICMalDroid] Benign=1795, Malware=3590
[CICMalDroid] Class dist: {1: 479, 2: 781, 3: 1405, 4: 925, 5: 1795}  (1=Adware 2=Banking 3=SMS 4=Riskware 5=Benign)
[Data] Strategy: category-aware temporal split + client specialization
  Task 0 (dom=Adware): 870 samples | Mal=511 Ben=359
  Task 1 (dom=Banking): 1131 samples | Mal=772 Ben=359
  Task 2 (dom=SMS): 1678 samples | Mal=1319 Ben=359
  Task 3 (dom=Riskware): 1258 samples | Mal=899 Ben=359
  Task 4 (dom=Adware): 448 samples | Mal=89 Ben=359
[Data] 5 tasks x 10 clients ready.

───────────────────────────────────────────────────────
 TASK 0  (25 rounds)
───────────────────────────────────────────────────────
  Client 01 | round=  6 | stage=STABLE     | score=0.000 | loss=0.5788 | acc=0.781 ✓
  Client 02 | round=  6 | stage=STABLE     | score=0.000 | loss=0.6347 | acc=0.634 ✓
  Client 03 | round=  6 | stage=STABLE     | score=0.000 | loss=0.6973 | acc=0.610 ✓
  Client 04 | round=  6 | stage=REPLAY     | score=0.688 | loss=0.6446 | acc=0.581 ✓
  Client 05 | round=  6 | stage=STABLE     | score=0.103 | loss=0.6155 | acc=0.651 ✓
  Client 06 | round=  6 | stage=STABLE     | score=0.000 | loss=0.6685 | acc=0.548 ✓
  Client 07 | round=  6 | stage=STABLE     | score=0.000 | loss=0.6944 | acc=0.571 ✓
  Client 08 | round=  6 | stage=STABLE     | score=0.000 | loss=0.6578 | acc=0.625 ✓
  Client 09 | round=  6 | stage=REPLAY     | score=0.537 | loss=0.6801 | acc=0.609 ✓
[Server] Round 6: active=10/10 | τ=0.800 | avg_score=0.133 | avg_acc=0.617
  Client 00 | round=  7 | stage=STABLE     | score=0.000 | loss=0.7042 | acc=0.781 ✓
  Client 01 | round=  7 | stage=STABLE     | score=0.000 | loss=0.6133 | acc=0.703 ✓
  Client 02 | round=  7 | stage=STABLE     | score=0.157 | loss=0.6368 | acc=0.610 ✓
  Client 03 | round=  7 | stage=STABLE     | score=0.101 | loss=0.7362 | acc=0.610 ✓
  Client 04 | round=  7 | stage=REPLAY     | score=0.726 | loss=0.6336 | acc=0.674 ✓
  Client 05 | round=  7 | stage=STABLE     | score=0.000 | loss=0.6882 | acc=0.558 ✓
  Client 06 | round=  7 | stage=STABLE     | score=0.069 | loss=0.6609 | acc=0.452 ✓
  Client 07 | round=  7 | stage=STABLE     | score=0.000 | loss=0.6224 | acc=0.643 ✓
  Client 08 | round=  7 | stage=REPLAY     | score=0.504 | loss=0.6415 | acc=0.656 ✓
  Client 09 | round=  7 | stage=STABLE     | score=0.000 | loss=0.5958 | acc=0.719 ✓
[Server] Round 7: active=10/10 | τ=0.800 | avg_score=0.156 | avg_acc=0.641
  Client 00 | round=  8 | stage=STABLE     | score=0.080 | loss=0.6393 | acc=0.750 ✓
  Client 01 | round=  8 | stage=REPLAY     | score=0.451 | loss=0.6237 | acc=0.781 ✓
  Client 02 | round=  8 | stage=STABLE     | score=0.000 | loss=0.6623 | acc=0.537 ✓
  Client 03 | round=  8 | stage=STABLE     | score=0.174 | loss=0.6860 | acc=0.537 ✓
  Client 04 | round=  8 | stage=STABLE     | score=0.118 | loss=0.5922 | acc=0.698 ✓
  Client 05 | round=  8 | stage=STABLE     | score=0.103 | loss=0.7308 | acc=0.558 ✓
  Client 06 | round=  8 | stage=STABLE     | score=0.000 | loss=0.6889 | acc=0.524 ✓
  Client 07 | round=  8 | stage=STABLE     | score=0.000 | loss=0.6236 | acc=0.643 ✓
  Client 08 | round=  8 | stage=REPLAY     | score=0.447 | loss=0.6169 | acc=0.656 ✓
  Client 09 | round=  8 | stage=REPLAY     | score=0.506 | loss=0.6168 | acc=0.750 ✓
[Server] Round 8: active=10/10 | τ=0.800 | avg_score=0.188 | avg_acc=0.643
  Client 00 | round=  9 | stage=STABLE     | score=0.211 | loss=0.6487 | acc=0.703 ✓
  Client 01 | round=  9 | stage=STABLE     | score=0.250 | loss=0.5272 | acc=0.859 ✓
